auc_value,bin,ks_value,"p0=0.5,accuracy"
0.8017952380952381,3,0.48571428571428577,0.759
0.8120428571428571,4,0.5066666666666667,0.766
0.8106166666666667,5,0.5061904761904762,0.771
0.8068523809523809,6,0.4866666666666667,0.764
0.809852380952381,7,0.49476190476190474,0.762
0.8188428571428572,8,0.5285714285714286,0.767
0.8059714285714286,9,0.5019047619047619,0.763
0.8127190476190476,10,0.5076190476190476,0.767
0.8148666666666667,11,0.5219047619047619,0.769
0.8214380952380953,12,0.5157142857142858,0.777
0.8160571428571429,13,0.49523809523809526,0.775
0.821004761904762,14,0.5190476190476191,0.78
0.820295238095238,15,0.5195238095238095,0.772
0.826947619047619,16,0.5195238095238095,0.784
0.8247333333333333,17,0.5252380952380953,0.78
0.8303666666666666,18,0.5533333333333333,0.775
0.8404380952380953,19,0.5595238095238095,0.792
0.8294142857142857,20,0.5447619047619048,0.785
0.8225523809523809,21,0.5214285714285714,0.777
0.8309857142857143,22,0.5385714285714286,0.778
0.8337190476190477,23,0.539047619047619,0.783
0.824995238095238,24,0.5257142857142858,0.786
0.8348904761904763,25,0.52,0.788
0.835852380952381,26,0.5528571428571428,0.782
0.8402666666666667,27,0.5671428571428572,0.796
0.8368095238095239,28,0.56,0.779
0.8382285714285713,29,0.5552380952380953,0.791
0.8346333333333334,30,0.5423809523809524,0.786
0.837547619047619,31,0.5604761904761905,0.788
0.8321857142857142,32,0.5357142857142857,0.786
0.8339238095238096,33,0.5514285714285714,0.786
0.838642857142857,34,0.5580952380952381,0.786
0.8431809523809524,35,0.5680952380952382,0.794
0.8404904761904762,36,0.5638095238095238,0.784
0.8442333333333333,37,0.5647619047619048,0.793
0.8447809523809524,38,0.5623809523809524,0.794
0.8402190476190476,39,0.5485714285714285,0.795
0.8450619047619048,40,0.5695238095238095,0.795
0.8406380952380952,41,0.5580952380952382,0.788
0.8448333333333333,42,0.5704761904761905,0.795
0.8437190476190476,43,0.5657142857142856,0.788
0.8417333333333333,44,0.5609523809523809,0.787
0.8435190476190475,45,0.5657142857142857,0.799
0.8449285714285714,46,0.5814285714285714,0.792
0.8464285714285713,47,0.5485714285714286,0.797
0.8424047619047621,48,0.5576190476190476,0.791
0.8463333333333333,49,0.5619047619047619,0.795
0.8460952380952383,50,0.56,0.8
0.8474285714285714,51,0.5671428571428571,0.795
0.8485190476190476,52,0.5880952380952381,0.798
0.8437619047619048,53,0.5666666666666667,0.784
0.8505904761904762,54,0.6019047619047619,0.79
0.8440190476190477,55,0.589047619047619,0.789
0.8446571428571429,56,0.5576190476190477,0.799
0.8493428571428572,57,0.5619047619047619,0.804
0.8475095238095237,58,0.569047619047619,0.799
0.843838095238095,59,0.5590476190476191,0.802
0.8423142857142857,60,0.5485714285714286,0.798
0.8470428571428572,61,0.5947619047619048,0.807
0.8504095238095238,62,0.5776190476190476,0.802
0.8458142857142857,63,0.5499999999999999,0.797
0.8471857142857143,64,0.5819047619047619,0.801
0.8555714285714285,65,0.5785714285714286,0.806
0.8457190476190475,66,0.5747619047619048,0.794
0.8525619047619049,67,0.5776190476190476,0.8
0.8491333333333333,68,0.5657142857142857,0.798
0.8538952380952383,69,0.5819047619047619,0.803
0.8562428571428572,70,0.5909523809523809,0.81
0.8528666666666668,71,0.5823809523809523,0.801
0.8515190476190476,72,0.5842857142857143,0.808
0.8538095238095238,73,0.5828571428571427,0.798
0.8575714285714287,74,0.5971428571428571,0.809
0.8517380952380952,75,0.5638095238095238,0.802
0.859604761904762,76,0.5776190476190476,0.803
0.8559476190476188,77,0.588095238095238,0.8
0.8590190476190476,78,0.5847619047619048,0.809
0.8512333333333334,79,0.5895238095238096,0.802
0.8575190476190476,80,0.5823809523809523,0.807
0.8571523809523809,81,0.5804761904761905,0.806
0.8551428571428571,82,0.5752380952380953,0.809
0.8572619047619048,83,0.5923809523809525,0.805
0.857657142857143,84,0.5928571428571429,0.8
0.8534904761904761,85,0.6004761904761905,0.807
0.8502095238095237,86,0.5519047619047619,0.809
0.8540857142857143,87,0.599047619047619,0.804
0.8558142857142856,88,0.5814285714285714,0.81
0.8519666666666668,89,0.5657142857142857,0.806
0.8626476190476191,90,0.598095238095238,0.812
0.8624047619047619,91,0.6047619047619047,0.808
0.8600095238095239,92,0.5933333333333333,0.805
0.8557476190476191,93,0.5680952380952381,0.807
0.8570523809523811,94,0.5671428571428572,0.813
0.8608809523809525,95,0.5771428571428572,0.803
0.8542476190476191,96,0.5661904761904762,0.799
0.8567857142857143,97,0.572857142857143,0.808
0.8602190476190477,98,0.5833333333333334,0.805
0.8578,99,0.5747619047619047,0.81
0.8572285714285713,100,0.5704761904761904,0.82
